bill_uid,state_code,state,identifier,chamber,title,classification,furthest_stage,lifecycle_state,primary_sponsor,primary_sponsor_party,subjects,first_action_date,latest_action_date,source_count,sources,state_population,is_enacted,reached_passed_chamber,days_active,days_since_last_action,primary_topic
MO:2026:HB3266,MO,Missouri,HB 3266,House,Creates a bill of rights for the unhoused,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3267,MO,Missouri,HB 3267,House,Grants the air conservation commission the authority to create standards and guidelines,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3268,MO,Missouri,HB 3268,House,Authorizes a tax credit for providing services to homeless persons,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3269,MO,Missouri,HB 3269,House,Modifies the pregnancy-associated mortality review board,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3270,MO,Missouri,HB 3270,House,Modifies provisions relating to county and municipal jail visitation,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3271,MO,Missouri,HB 3271,House,Modifies provisions governing the assessment and taxation of property,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3272,MO,Missouri,HB 3272,House,Modifies provisions relating to county and municipal jail visitation,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3273,MO,Missouri,HB 3273,House,Adds the National Women's Soccer League and the National Women's Basketball Association to the list of available sports team special license plates,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3274,MO,Missouri,HB 3274,House,Modifies provisions relating to state identification cards for at-risk youth,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3275,MO,Missouri,HB 3275,House,Modifies and establishes provisions relating to moneys in school funds,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3276,MO,Missouri,HB 3276,House,"Establishes the ""Auto Theft Prevention Commission""",bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3277,MO,Missouri,HB 3277,House,Allows the city of Northwoods to impose a sales tax for public safety purposes,bill,introduced,active,,,,,2026-04-08,1,legiscan,6200000,0,0,,89,
MO:2026:HB3278,MO,Missouri,HB 3278,House,Modifies provisions relating to the disclosure of records for the protection of vulnerable adults,bill,introduced,active,,,,,2026-04-16,1,legiscan,6200000,0,0,,81,
MO:2026:HB3279,MO,Missouri,HB 3279,House,Modifies provisions relating to the Missouri community service commission,bill,passed_chamber,active,,,,,2026-05-28,1,legiscan,6200000,0,1,,39,
MO:2026:HB3280,MO,Missouri,HB 3280,House,Establishes a special license plate for surviving spouses of disabled veterans,bill,introduced,active,,,,,2026-04-01,1,legiscan,6200000,0,0,,96,
MO:2026:HB3281,MO,Missouri,HB 3281,House,Establishes provisions relating to software accountability for education,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3282,MO,Missouri,HB 3282,House,Modifies provisions relating to peer review committees,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3283,MO,Missouri,HB 3283,House,Modifies provisions relating to public labor organizations,bill,introduced,active,,,,,2026-05-07,1,legiscan,6200000,0,0,,60,
MO:2026:HB3284,MO,Missouri,HB 3284,House,"Designates August twenty-seventh each year as ""Crystal Lynn Foundation Day""",bill,introduced,dead,,,,,2026-02-27,1,legiscan,6200000,0,0,,129,
MO:2026:HB3285,MO,Missouri,HB 3285,House,Creates provisions relating to temporary real estate salesperson licenses,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3286,MO,Missouri,HB 3286,House,Modifies provisions relating to firearms,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3287,MO,Missouri,HB 3287,House,"Designates the city of Kansas City as the ""Barbecue Capital"" of the state of Missouri",bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3288,MO,Missouri,HB 3288,House,Creates provisions relating to communication access services,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3289,MO,Missouri,HB 3289,House,Modifies and establishes provisions relating to court operations,bill,introduced,active,,,,,2026-04-09,1,legiscan,6200000,0,0,,88,
MO:2026:HB3290,MO,Missouri,HB 3290,House,Repeals a provision for public entity contracts,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3291,MO,Missouri,HB 3291,House,Designates three memorial bridges in honor of three veterans,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3292,MO,Missouri,HB 3292,House,"Establishes the ""Motivational Boot Camp Incarceration Program"" in the department of corrections and allows certain persons to be sentenced to the Program",bill,introduced,active,,,,,2026-04-09,1,legiscan,6200000,0,0,,88,
MO:2026:HB3293,MO,Missouri,HB 3293,House,Expands the requirement for children to wear personal flotation devices,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3294,MO,Missouri,HB 3294,House,Authorizes an income tax subtraction for all military income,bill,introduced,active,,,,,2026-05-05,1,legiscan,6200000,0,0,,62,
MO:2026:HB3295,MO,Missouri,HB 3295,House,Repeals and creates new provisions relating to the members of the Clean Water Commission,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3296,MO,Missouri,HB 3296,House,Modifies provisions for fire protection districts,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3297,MO,Missouri,HB 3297,House,Creates several new provisions for property development,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3298,MO,Missouri,HB 3298,House,Creates provisions relating to state-accredited residency programs,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
